,water (rigid),water (flexible),water diff (ahr - bbr),dE (rigid),dE (flexible),dE diff (ahr - bbr),dEsw (rigid),dEsw (flexible),dEsw diff (ahr - bbr),dEww (rigid),dEww (flexible),dEww diff (ahr - bbr),E/water (rigid),E/water (flexible),E/water diff (ahr - bbr),Esw/water (rigid),Esw/water (flexible),Esw/water diff (ahr - bbr),Eww/water (rigid),Eww/water (flexible),Eww/water diff (ahr - bbr),Nsw (rigid),Nsw (flexible),Nsw diff (ahr - bbr),Nww (rigid),Nww (flexible),Nww diff (ahr - bbr),Nsw/water (rigid),Nsw/water (flexible),Nsw/water diff (ahr - bbr),Nww/water (rigid),Nww/water (flexible),Nww/water diff (ahr - bbr),dTStot (rigid),dTStot (flexible),dTStot diff (ahr - bbr),dTStrans (rigid),dTStrans (flexible),dTStrans diff (ahr - bbr),dTSorient (rigid),dTSorient (flexible),dTSorient diff (ahr - bbr),dTS/water (rigid),dTS/water (flexible),dTS/water diff (ahr - bbr),dTStrans/water (rigid),dTStrans/water (flexible),dTStrans/water diff (ahr - bbr),dTSorient/water (rigid),dTSorient/water (flexible),dTSorient/water diff (ahr - bbr),dA (rigid),dA (flexible),dA diff (ahr - bbr),A/water (rigid),A/water (flexible),A/water diff (ahr - bbr)
water (rigid),1.0,0.9979003614375556,0.1297180709840042,-0.5821115545398586,-0.5518776974898452,0.0068302096933615,-0.6153626719223529,-0.5876957726982025,0.1324632280385296,0.5458584032214013,0.5541683965643747,-0.1334007120245656,-0.5633458360151561,-0.3871830388455261,-0.5220053365877334,0.729842792365112,0.734996492101373,-0.4537586527296577,-0.8003185947526348,-0.8251089286648555,0.2095701738698075,0.526502897283366,0.497560431932306,0.038746296352465,0.9973207639827708,0.996167346084336,0.1262120656125743,-0.721725955330312,-0.7869228400668914,0.5940392768738693,0.8173711238143181,0.874157613675374,-0.0259575745539464,-0.512106105341274,-0.3155612816715402,-0.676912069796868,-0.4721411145365954,-0.2162754150189324,-0.684313956626358,-0.5361578314866113,-0.3724165491234627,-0.6190045090637639,0.8365045805862426,0.8386281393632193,0.378124811982997,0.8133716024611211,0.8272957586103915,0.5351305943139022,0.8479416286478857,0.842197005575813,0.1135673052568638,0.069006994166544,-0.2413956069950863,0.4853576520054634,-0.8227573158090998,-0.8085662167094507,-0.5752594283407386
water (flexible),0.9979003614375556,1.0,0.0652251331092746,-0.5586115281664918,-0.5262666706777146,-0.0013538148853474,-0.6057211718194073,-0.5796356085845411,0.1353434842045817,0.5409019876559477,0.5511141733115521,-0.1396286822858305,-0.536712691421133,-0.3569722424009963,-0.5231732195163712,0.7316936800787489,0.7430033338308363,-0.4816676567524279,-0.7942356717884761,-0.8253606024544006,0.2404650742753526,0.5195964904925662,0.490700338256865,0.0396317366247442,0.9950909903516454,0.997905817892375,0.0669221348240238,-0.7196762586008199,-0.791202396995729,0.6202682200286558,0.8062939625034534,0.8668682875146515,-0.0480283689200044,-0.5005425561275504,-0.3148777244658755,-0.6481553107766854,-0.4596497459374019,-0.2137803418979541,-0.6612011221630406,-0.5251687315595145,-0.3729603818709527,-0.5857340023948083,0.8333772216517736,0.836201657821794,0.3729960069025614,0.8120797728704066,0.8268015211610826,0.531744889305132,0.8434924404382794,0.8384700418058275,0.1084042167630444,0.0760931793967103,-0.2165566654299928,0.459700358702177,-0.807051563679695,-0.7899879681450103,-0.5740481976417479
water diff (ahr - bbr),0.1297180709840042,0.0652251331092746,1.0,-0.4165484572098257,-0.4459177476664168,0.1259588114444034,-0.207647446453819,-0.1807338750128672,-0.0311909291359027,0.1291450657335938,0.1008286013882744,0.0823514701521782,-0.4626801912119809,-0.5002605184468336,-0.0330536335344082,0.0428823102959594,-0.0508535239899895,0.3829693880803676,-0.1712129347705296,-0.0766589495890025,-0.4525042386388175,0.1571006286747866,0.1535654571844662,-0.0097652672576497,0.1314484383091322,0.0705850048931882,0.9199997776070016,-0.1018093277185585,-0.0112763115470038,-0.3435722298742331,0.2493344897097417,0.1968878556084039,0.3353468291851376,-0.2269998430186245,-0.041259821158808,-0.5062901262292807,-0.2373039212981503,-0.059306963668417,-0.4206052251371843,-0.2205527131548498,-0.0280153807977533,-0.5697460442800151,0.1295013848343925,0.1189776929153712,0.1154198248006975,0.0991446025848606,0.0882905586683625,0.1040565654688856,0.1508528074723508,0.139235709136899,0.0901233810680313,-0.1017331069435851,-0.4037983984208488,0.4401505478340383,-0.3207138618508835,-0.3633024461458271,-0.0746752858013382
dE (rigid),-0.5821115545398586,-0.5586115281664918,-0.4165484572098257,1.0,0.9076258628737004,0.0842465972695258,0.5784150185690421,0.612943154849566,-0.3858570990729049,-0.399835946405298,-0.4943116104010377,0.4302050805297523,0.943003791380506,0.828783358805667,0.4821690180916424,-0.3104646070359377,-0.2467018904871775,-0.0944863686564586,0.5437783912322502,0.4542831859837984,0.3875625075623042,-0.5175661967756391,-0.5579141357391609,0.2494168553018466,-0.5889108608454683,-0.5604045363861658,-0.4885583846767337,0.3363150536406544,0.3309563357389062,-0.124018218760072,-0.6736223735935225,-0.655799864531949,-0.2956342958759523,0.481464024534374,0.2779308868948006,0.6756185377374506,0.4662019953827953,0.2518834939323814,0.6162308408761967,0.4888489399635647,0.2944918224785544,0.677828874850484,-0.4966310530698181,-0.5296106787281333,-0.0586658366090692,-0.462607131061419,-0.4952903492628531,-0.2288688059662734,-0.5185294909326937,-0.5471243169815208,0.1430591036981969,0.3130271483717421,0.63244999338016,-0.4263031044740704,0.801833321605497,0.8367540795301303,0.4094125261247121
dE (flexible),-0.5518776974898452,-0.5262666706777146,-0.4459177476664168,0.9076258628737004,1.0,-0.3418233176249837,0.7239209025938017,0.7652145436008237,-0.4746310330194713,-0.5864296974022261,-0.6506508378194639,0.3513118649893987,0.9058508459021088,0.9414569544294747,0.148320745918645,-0.1258603197517781,-0.0519422112520264,-0.2478742671822852,0.3718011675410649,0.2902770377633522,0.3663434897802796,-0.7019658543902548,-0.7380627870795496,0.2604391636831342,-0.537678051571102,-0.5144525692908402,-0.4043790161008141,0.1508155398749416,0.1511919367845273,-0.0670087656991102,-0.5158168892349271,-0.5358506353412934,-0.0604151978691348,0.649192106161811,0.4862045809662069,0.6779189042178183,0.6499951766170524,0.4702137581755464,0.6744701327738456,0.6447078376495936,0.4925626561946251,0.6316909227190324,-0.3479885986697065,-0.3733653719687648,-0.0294795815544368,-0.3026185494055419,-0.3348485957485184,-0.1167558161359215,-0.378802632311682,-0.3950007272041926,0.0726499675192244,0.054167068110882,0.5210110329867151,-0.6998835180023391,0.6880460490895198,0.789271959321959,0.1304906043768841
dE diff (ahr - bbr),0.0068302096933615,-0.0013538148853474,0.1259588114444034,0.0842465972695258,-0.3418233176249837,1.0,-0.4234948243999689,-0.4442162600625194,0.2628258960078115,0.4969141001455271,0.4378544574679833,0.1291827379600898,-0.0391372764451381,-0.3793631546756522,0.7273625681261289,-0.3962841209917357,-0.4289998558368033,0.3768618275489355,0.3348074145365101,0.3279705723618168,-0.0019640281932513,0.5076026089684993,0.5029598726475082,-0.0598421015808262,-0.0420979079077699,-0.0334117533184245,-0.1338507183581247,0.3949173654247347,0.3820277154555184,-0.1185823301742841,-0.2836343900178766,-0.1961813375595781,-0.5184245525355883,-0.463153712524619,-0.531914776771156,-0.0966898547400547,-0.4992271952103703,-0.5522691123089779,-0.2214549078711319,-0.4359766158307898,-0.5099319707855108,0.0179907912106126,-0.2857822470940736,-0.2993751405610863,-0.0613662404562136,-0.3173091291782413,-0.313970249375644,-0.2352297628347366,-0.2616620706707618,-0.2872265008612162,0.1478085634091401,0.5722008206822261,0.179131172402105,0.7069707548407161,0.1618348879356108,-0.0002718136013926,0.6068089037156363
dEsw (rigid),-0.6153626719223529,-0.6057211718194073,-0.207647446453819,0.5784150185690421,0.7239209025938017,-0.4234948243999689,1.0,0.9753315811911256,-0.3028658712436185,-0.9789699938459764,-0.9680630066167458,0.1421550848399806,0.6075667621788176,0.6177330528167023,0.1294083404658263,-0.0598995158459692,-0.0677664008914509,0.0696920341104324,0.2279557587404273,0.223776674409729,-0.0038302550219181,-0.942130954997437,-0.9306076739033966,0.0989453161756759,-0.5648027223824191,-0.5618582817523241,-0.1055681898018739,0.133879630441563,0.201179859671475,-0.347497649780092,-0.3673097363767978,-0.4254887627011369,0.1729651770136011,0.9481422009065916,0.8581108060059464,0.6805725890975988,0.9348933147821832,0.8126128642505089,0.758583806854651,0.9511412730515312,0.875072347899167,0.5583788355615452,-0.2816391497882598,-0.311654633243373,0.0246822513748355,-0.2529395668889047,-0.298216216114999,-0.0406731935059347,-0.3005430233888838,-0.3190635780159945,0.0956112110916521,-0.5445842463365983,-0.117211323622043,-0.7538977385924116,0.4921970981084839,0.5649746957944963,0.0921557471000668
dEsw (flexible),-0.5876957726982025,-0.5796356085845411,-0.1807338750128672,0.612943154849566,0.7652145436008237,-0.4442162600625194,0.9753315811911256,1.0,-0.5057718566751565,-0.9426166358679816,-0.9867557034350972,0.3424195269023853,0.630217236989784,0.6478987556020039,0.1187901703018852,-0.0573843354189287,-0.0361541709179667,-0.0586033864749691,0.2323072304206078,0.2001689325307386,0.1351173045229719,-0.9240873607782158,-0.9524166874672472,0.262667478885594,-0.5396156495789901,-0.5348676944806597,-0.1296477469770369,0.1319536145170787,0.1825181874043269,-0.2746125313578225,-0.3733853219030353,-0.418310259381919,0.1057890238407261,0.9473233015675296,0.8707915039402242,0.651916080046729,0.9332928664593416,0.8225927042455691,0.7396416446896917,0.9507863421429116,0.8902481011218093,0.5191483581309027,-0.2672621089841437,-0.2966871682092981,0.0285769682363652,-0.2398509660185124,-0.2857713331675163,-0.0291873724878191,-0.2854151686848804,-0.3018094473003374,0.0825721655923823,-0.5148747014728445,-0.0884722042398402,-0.7467611590198924,0.4947066850887701,0.5712382478334055,0.0820734548572727
dEsw diff (ahr - bbr),0.1324632280385296,0.1353434842045817,-0.0311909291359027,-0.3858570990729049,-0.4746310330194713,0.2628258960078115,-0.3028658712436185,-0.5057718566751565,1.0,0.2438082832881694,0.476996599356987,-0.9228060949864386,-0.3465102853351468,-0.3831177392453725,-0.0071341088427375,0.0136626746279007,-0.1087393060306262,0.5253674022879237,-0.1121057215193789,0.0103150888051047,-0.5983187214061272,0.3077776551406793,0.4751183971737082,-0.7473523659134177,0.1224720114851392,0.1134802028154622,0.1471769326714845,-0.0464914026154757,-0.0017878455345513,-0.1724177375390773,0.176596517331721,0.1431902123861413,0.2192188816774217,-0.3846032247806544,-0.406029076299406,-0.1548856505401343,-0.3758052983472769,-0.3757434297456604,-0.2287602420747228,-0.3878340882539264,-0.423744456836376,-0.0592127215560227,0.0532242932671429,0.0629626311385351,-0.0269186813005262,0.0470381501307018,0.0683519615888815,-0.0329369385886199,0.057721480985531,0.0561234522572488,0.0171532169616979,0.0946664064778013,-0.0760971594583535,0.2778106901181166,-0.2123260768272378,-0.2583261495620975,0.0058023741053025
dEww (rigid),0.5458584032214013,0.5409019876559477,0.1291450657335938,-0.399835946405298,-0.5864296974022261,0.4969141001455271,-0.9789699938459764,-0.9426166358679816,0.2438082832881694,1.0,0.9641176012240728,-0.0521404263145161,-0.4468451646576303,-0.4868321123105836,-0.0248250621415219,-0.0103371443355103,0.0144485481843131,-0.1019385311241923,-0.1201464016527713,-0.1378321298924362,0.1012276033146577,0.929164173705404,0.9061265985826676,-0.0488045431848094,0.4873476871008882,0.4911681327114243,-0.0035605174257369,-0.0663238381388895,-0.1432835058422013,0.3594393130708787,0.2442554241758297,0.3140831935796981,-0.2682778909913106,-0.9449478903535596,-0.8946867757326104,-0.5957459176914751,-0.9338777834592898,-0.8500782618665461,-0.6982526606717443,-0.9464709653564574,-0.909603572552242,-0.4578936805754091,0.1922567784891401,0.2177352644339993,-0.0424052993690088,0.1685181986208773,0.2112185643581084,-0.0115350990438538,0.2080210931734161,0.221680186008425,-0.071654703954139,0.6901908115130254,0.2898685386343865,0.7404834479841604,-0.3525179747707048,-0.4255589961952171,-0.0011619427262177
dEww (flexible),0.5541683965643747,0.5511141733115521,0.1008286013882744,-0.4943116104010377,-0.6506508378194639,0.4378544574679833,-0.9680630066167458,-0.9867557034350972,0.476996599356987,0.9641176012240728,1.0,-0.3153839117328019,-0.5151354418251528,-0.5270203190023806,-0.1027483658170461,0.0359756814686877,0.0295588239267792,0.0066679846329937,-0.1803390113902258,-0.1629717993199063,-0.067070227658922,0.913150540440796,0.9374710583474845,-0.2442093410833785,0.5010323761236503,0.5012840534916991,0.0510353913964428,-0.1176465999638698,-0.1771964542921391,0.3070411404753246,0.3104622345382569,0.3584063658663562,-0.1400084778000659,-0.953854686774284,-0.904648819619363,-0.598162484854143,-0.9371024447485594,-0.851824613729594,-0.7025093947384582,-0.9590695099144664,-0.9259969527879351,-0.4532024068873373,0.2275711959469067,0.255885812398044,-0.0411361229965523,0.2066698457916086,0.2527149155093752,0.0050099864377827,0.2412197041563865,0.2564764257948361,-0.0790937929432489,0.6209792112688894,0.2356398700793267,0.7045050056618735,-0.4101725210181646,-0.4749407109024678,-0.0639313673381249
dEww diff (ahr - bbr),-0.1334007120245656,-0.1396286822858305,0.0823514701521782,0.4302050805297523,0.3513118649893987,0.1291827379600898,0.1421550848399806,0.3424195269023853,-0.9228060949864386,-0.0521404263145161,-0.3153839117328019,1.0,0.3405000084448548,0.2422707589524597,0.2977691652525154,-0.1722806132595577,-0.0595436819194224,-0.3894712866365773,0.248907939556076,0.1203584753343073,0.614145142279617,-0.1136259475707163,-0.2874617723447175,0.7441850657704655,-0.1426701901919129,-0.1299603766017686,-0.2047080767307534,0.2054711774989514,0.1543814566551964,0.1298476587896976,-0.2947544983217043,-0.2255009124062727,-0.4323110605235217,0.2103231959998088,0.2048878487539999,0.1205663241198747,0.1868772938285454,0.1656354763767016,0.146669974852219,0.2244954169780161,0.2318719013530254,0.0680336386168302,-0.1688165465347802,-0.1842526393954407,0.0031603960450613,-0.1750473778513081,-0.1956192662224578,-0.0600785573443164,-0.1638073606320686,-0.1723728862993575,0.0413906361629764,0.1312038260944864,0.149750421336222,-0.0032187061600501,0.2828411544763551,0.2653884662556797,0.2363371102726978
E/water (rigid),-0.5633458360151561,-0.536712691421133,-0.4626801912119809,0.943003791380506,0.9058508459021088,-0.0391372764451381,0.6075667621788176,0.630217236989784,-0.3465102853351468,-0.4468451646576303,-0.5151354418251528,0.3405000084448548,1.0,0.9103631676429866,0.443079841004553,-0.3040746323177034,-0.237266165891005,-0.1115280814217793,0.554675634278727,0.4656562000056519,0.3841449194504686,-0.5888845749747531,-0.6137831805411246,0.195990785636249,-0.561069727664762,-0.5326370548118067,-0.4844188512146967,0.3241103034570415,0.3236689200704231,-0.1395178825398416,-0.685078623094312,-0.6757946118142506,-0.2575865080479199,0.5507538648897212,0.3468712493022833,0.7123267880726477,0.543159999504693,0.322505589476089,0.6728878243853924,0.5525010145460705,0.3591473558980073,0.6998556415568138,-0.5022010844728776,-0.5333859853494773,-0.0705732775301524,-0.4645493014972275,-0.5028707551146807,-0.2130575289047025,-0.5268948553968663,-0.54980461016593,0.105097698667863,0.1903669351493798,0.5633429957959617,-0.5311383593605238,0.834729707884585,0.8849612976009601,0.3832327927004903
E/water (flexible),-0.3871830388455261,-0.3569722424009963,-0.5002605184468336,0.828783358805667,0.9414569544294747,-0.3793631546756522,0.6177330528167023,0.6478987556020039,-0.3831177392453725,-0.4868321123105836,-0.5270203190023806,0.2422707589524597,0.9103631676429866,1.0,0.0323908366152585,0.0071176899560776,0.084394462656753,-0.3410747807194882,0.256961405592895,0.1703086486129688,0.4042950304568732,-0.6466876094462196,-0.6661022463794015,0.1820976809569741,-0.3715537762848581,-0.3459482858513266,-0.4216293205853455,0.0020270572978416,-0.0009579639279481,0.0124755287270367,-0.3980471415416804,-0.417259554239503,-0.0280563370411425,0.5813453287806333,0.4260934328423553,0.6265145518285348,0.5965793802853712,0.4275833487427614,0.6252316860653944,0.5673977212678049,0.4202456717078701,0.5893015314044516,-0.2117907998600024,-0.2400980658170255,0.049247249237462,-0.1625587948216952,-0.2036597694908725,0.0096643685468229,-0.2463775525013321,-0.2624226748438635,0.0838928865907063,0.0618729178819757,0.5214217085069149,-0.687316865520918,0.6036417470546019,0.72780558732007,0.0049222134751075
E/water diff (ahr - bbr),-0.5220053365877334,-0.5231732195163712,-0.0330536335344082,0.4821690180916424,0.148320745918645,0.7273625681261289,0.1294083404658263,0.1187901703018852,-0.0071341088427375,-0.0248250621415219,-0.1027483658170461,0.2977691652525154,0.443079841004553,0.0323908366152585,1.0,-0.7497912801779011,-0.7559054401602592,0.4697753031569843,0.7829718084855852,0.7557446575277659,0.0516825390837052,-0.0217159675860212,-0.0397051119445705,0.0785672470038281,-0.5503495253158046,-0.5371956084689431,-0.2559025221364821,0.778244643083096,0.7838121364035061,-0.3646394288719839,-0.7922642876803273,-0.728306622727608,-0.5609100766574828,0.0710158993633316,-0.0850604494692801,0.3632596395109865,0.0196790909864923,-0.1471825448969989,0.2708979430777919,0.1054461877612989,-0.0427263011904545,0.4136642310918196,-0.754078285635202,-0.7681455552627843,-0.2767432918401307,-0.76977796074951,-0.7733935091860007,-0.5351744549609099,-0.7388035663668072,-0.7594353462080535,0.072486642277196,0.325534754816483,0.2308010390173873,0.2061282266891425,0.7083473502187309,0.5607285982641016,0.9147885205425398
Esw/water (rigid),0.729842792365112,0.7316936800787489,0.0428823102959594,-0.3104646070359377,-0.1258603197517781,-0.3962841209917357,-0.0598995158459692,-0.0573843354189287,0.0136626746279007,-0.0103371443355103,0.0359756814686877,-0.1722806132595577,-0.3040746323177034,0.0071176899560776,-0.7497912801779011,1.0,0.9801729782450416,-0.5045774696762876,-0.9613296142701068,-0.9675049539658876,0.1338741722361469,-0.0199532414777788,-0.0091989137809542,-0.0418299024582432,0.7608599391972555,0.754272596817182,0.1812102909605364,-0.961849687608902,-0.9626243304752132,0.4227147224550436,0.8886853480301972,0.8785501544697748,0.3266314233557462,-0.0085820013258597,0.1597903155726425,-0.3565547310619955,0.0436182761514096,0.2439551782603298,-0.2843352703021571,-0.0441838613681474,0.1047364237547292,-0.3919188404712155,0.951198278727736,0.9276357148244612,0.564864639192117,0.9557529137958286,0.9273591588328242,0.7661335131910932,0.942785222102848,0.922184397290573,0.2195984931277475,-0.2498591844405966,-0.2814264345291648,0.0004284429292527,-0.7622888318593156,-0.6513549385908459,-0.8360153012465691
Esw/water (flexible),0.734996492101373,0.7430033338308363,-0.0508535239899895,-0.2467018904871775,-0.0519422112520264,-0.4289998558368033,-0.0677664008914509,-0.0361541709179667,-0.1087393060306262,0.0144485481843131,0.0295588239267792,-0.0595436819194224,-0.237266165891005,0.084394462656753,-0.7559054401602592,0.9801729782450416,1.0,-0.6656437312996949,-0.9246976621227124,-0.9675022033233168,0.3124785764946877,-0.0069111077914982,-0.0218199747930064,0.0633801942351938,0.7631015563608852,0.7643234299435823,0.0652587419433181,-0.932754333408338,-0.9648359051011788,0.5443739929758923,0.8470447129015699,0.8577232752091863,0.2111051494590226,0.0004740219193949,0.1601992395297522,-0.333769332363432,0.0548533090558465,0.24714697346199,-0.2650152833616671,-0.036303277404025,0.1042239914277964,-0.3677496739377224,0.93715621910085,0.921728356110957,0.5160744879454214,0.9456669332020566,0.924630396470148,0.7364994946041825,0.9257848733975628,0.914957830243955,0.1530210339382282,-0.2064467586971835,-0.2082090809842117,-0.0366432677688349,-0.7189437131862467,-0.6040453730652116,-0.8204055587259749
Esw/water diff (ahr - bbr),-0.4537586527296577,-0.4816676567524279,0.3829693880803676,-0.0944863686564586,-0.2478742671822852,0.3768618275489355,0.0696920341104324,-0.0586033864749691,0.5253674022879237,-0.1019385311241923,0.0066679846329937,-0.3894712866365773,-0.1115280814217793,-0.3410747807194882,0.4697753031569843,-0.5045774696762876,-0.6656437312996949,1.0,0.4084649183686822,0.5717149020406707,-0.8573255364212187,-0.0449745060716757,0.0604818898237785,-0.4336781408569047,-0.4593937333869684,-0.4895173988100877,0.3979915487961482,0.4416964097632662,0.5785517507828276,-0.7798693332877071,-0.3436951260920369,-0.4283717572783597,0.3102441569209594,-0.0343032828082842,-0.0961205177560449,0.1114581687011656,-0.0746358761361447,-0.1579654763651273,0.0838829064118667,-0.0081496840790783,-0.0595895647988102,0.1263381102168094,-0.5008978021620039,-0.5224132774200763,-0.1212291221930427,-0.5208179228186238,-0.5360944991080078,-0.3236006430300319,-0.4830429415606659,-0.5134507779916849,0.1602930129746006,-0.0417007357989375,-0.1529756849264378,0.1613345977783912,0.2615295213927494,0.1786689746738879,0.4260693062545611
