,water (rigid),water (flexible),water diff (ahr - bbr),dE (rigid),dE (flexible),dE diff (ahr - bbr),dEsw (rigid),dEsw (flexible),dEsw diff (ahr - bbr),dEww (rigid),dEww (flexible),dEww diff (ahr - bbr),E/water (rigid),E/water (flexible),E/water diff (ahr - bbr),Esw/water (rigid),Esw/water (flexible),Esw/water diff (ahr - bbr),Eww/water (rigid),Eww/water (flexible),Eww/water diff (ahr - bbr),Nsw (rigid),Nsw (flexible),Nsw diff (ahr - bbr),Nww (rigid),Nww (flexible),Nww diff (ahr - bbr),Nsw/water (rigid),Nsw/water (flexible),Nsw/water diff (ahr - bbr),Nww/water (rigid),Nww/water (flexible),Nww/water diff (ahr - bbr),dTStot (rigid),dTStot (flexible),dTStot diff (ahr - bbr),dTStrans (rigid),dTStrans (flexible),dTStrans diff (ahr - bbr),dTSorient (rigid),dTSorient (flexible),dTSorient diff (ahr - bbr),dTS/water (rigid),dTS/water (flexible),dTS/water diff (ahr - bbr),dTStrans/water (rigid),dTStrans/water (flexible),dTStrans/water diff (ahr - bbr),dTSorient/water (rigid),dTSorient/water (flexible),dTSorient/water diff (ahr - bbr),dA (rigid),dA (flexible),dA diff (ahr - bbr),A/water (rigid),A/water (flexible),A/water diff (ahr - bbr)
Eww/water (rigid),-0.8003185947526348,-0.7942356717884761,-0.1712129347705296,0.5437783912322502,0.3718011675410649,0.3348074145365101,0.2279557587404273,0.2323072304206078,-0.1121057215193789,-0.1201464016527713,-0.1803390113902258,0.248907939556076,0.554675634278727,0.256961405592895,0.7829718084855852,-0.9613296142701068,-0.9246976621227124,0.4084649183686822,1.0,0.9796587075234464,-0.0058747463464037,-0.1528105533805998,-0.1694011320764827,0.0931919664602664,-0.8267518558887136,-0.8127786383501181,-0.2983150294120316,0.9337990457258548,0.9343480501111314,-0.4095421912447989,-0.9742478894617068,-0.962712088584891,-0.3597510762286449,0.1667105217675052,-0.039289784740027,0.5173475084926142,0.1189227356418211,-0.1198448154109205,0.4428683272256611,0.1983107912345233,0.0123442163531256,0.5446299687775952,-0.9759802435572624,-0.964414864606136,-0.5137708098668466,-0.9690731453312076,-0.955351457947352,-0.7307523046651402,-0.9757711475792068,-0.964400181571277,-0.1614244805520569,0.2732675311657365,0.4086628030438357,-0.1539207879840946,0.9071128401592315,0.8247425141902405,0.8409825476053463
Eww/water (flexible),-0.8251089286648555,-0.8253606024544006,-0.0766589495890025,0.4542831859837984,0.2902770377633522,0.3279705723618168,0.223776674409729,0.2001689325307386,0.0103150888051047,-0.1378321298924362,-0.1629717993199063,0.1203584753343073,0.4656562000056519,0.1703086486129688,0.7557446575277659,-0.9675049539658876,-0.9675022033233168,0.5717149020406707,0.9796587075234464,1.0,-0.2064225707520814,-0.157274162436874,-0.1474563614118623,-0.0164712850492768,-0.8489361934634713,-0.843646951511202,-0.1715277309756525,0.9229326425259188,0.953901412941361,-0.5351766352917342,-0.9386689067246776,-0.954105543761712,-0.2158808107694245,0.1470589173805324,-0.050294022617027,0.4890599371474685,0.0971483789466772,-0.1359001952488319,0.4207430070211222,0.1798891029413331,0.0035769802566443,0.513219667812908,-0.980516678381395,-0.972442917103176,-0.4978599346605452,-0.976439428484294,-0.9660658922493458,-0.7258859637147501,-0.9780484368622108,-0.9714127263645363,-0.1300385425318868,0.2198564874228794,0.3382196714410398,-0.1381850178944948,0.8641606913259604,0.7820449916889186,0.8125608727797321
Eww/water diff (ahr - bbr),0.2095701738698075,0.2404650742753526,-0.4525042386388175,0.3875625075623042,0.3663434897802796,-0.0019640281932513,-0.0038302550219181,0.1351173045229719,-0.5983187214061272,0.1012276033146577,-0.067070227658922,0.614145142279617,0.3841449194504686,0.4042950304568732,0.0516825390837052,0.1338741722361469,0.3124785764946877,-0.8573255364212187,-0.0058747463464037,-0.2064225707520814,1.0,0.0387234204159302,-0.0911962732899223,0.5368859997398567,0.1994140624322897,0.2411752567438149,-0.5995799876220342,-0.0460922775725096,-0.1977413228632017,0.6700373536538985,-0.0727931590525915,0.060370707345673,-0.6783080361727309,0.0799230266972952,0.0590464366982317,0.0851581861773156,0.0956276619052671,0.0928693998219196,0.0624759580071999,0.0704013176413421,0.0423465999775422,0.0977845665275305,0.1273170776422288,0.143489647196161,-0.0242373457324746,0.1406591969380009,0.1558941851330076,0.0540685928256292,0.1160481621820201,0.1384295959836194,-0.139112467672887,0.2369106458778015,0.3071750039504352,-0.0617598359121845,0.1167441804326875,0.1243065504599062,0.0514409273320047
Nsw (rigid),0.526502897283366,0.5195964904925662,0.1571006286747866,-0.5175661967756391,-0.7019658543902548,0.5076026089684993,-0.942130954997437,-0.9240873607782158,0.3077776551406793,0.929164173705404,0.913150540440796,-0.1136259475707163,-0.5888845749747531,-0.6466876094462196,-0.0217159675860212,-0.0199532414777788,-0.0069111077914982,-0.0449745060716757,-0.1528105533805998,-0.157274162436874,0.0387234204159302,1.0,0.9709823686587378,-0.0348752226374545,0.4707125484717794,0.472537113890066,0.0243201981252544,0.0157917557009307,-0.0761542095938772,0.38796112215161,0.2675758135667577,0.3453405398227199,-0.3002676931280261,-0.942634505660113,-0.8512863081547386,-0.6804663717538163,-0.9398706937214302,-0.8128047788975982,-0.7690350512387786,-0.9381372001401196,-0.8617788082589979,-0.5540953176163416,0.1842523967675763,0.2316320696152572,-0.1607103253436295,0.1493413268560702,0.2168881904912682,-0.1010381750756116,0.2082196164516469,0.241171968008597,-0.1994850390447154,0.5894093053760221,0.1324108721947841,0.8075064179895287,-0.4205644572223029,-0.5246047716683095,0.0509977942518359
Nsw (flexible),0.497560431932306,0.490700338256865,0.1535654571844662,-0.5579141357391609,-0.7380627870795496,0.5029598726475082,-0.9306076739033966,-0.9524166874672472,0.4751183971737082,0.9061265985826676,0.9374710583474845,-0.2874617723447175,-0.6137831805411246,-0.6661022463794015,-0.0397051119445705,-0.0091989137809542,-0.0218199747930064,0.0604818898237785,-0.1694011320764827,-0.1474563614118623,-0.0911962732899223,0.9709823686587378,1.0,-0.2728688248709254,0.4443466103020194,0.4417577115473864,0.0871054793389516,-0.0100877407559817,-0.0685417930835543,0.2552138816790014,0.291143092795014,0.345655917919199,-0.1783551352426757,-0.9514930400242684,-0.8861454141278856,-0.6306921866247028,-0.9441042704309308,-0.8517295754603066,-0.717781031982594,-0.9501061572494394,-0.895054332513708,-0.505076768232299,0.1847109154885741,0.2234030232743708,-0.1152554680426833,0.1548711105330154,0.2091175233120903,-0.0566215698088331,0.2051479406164787,0.231811008923494,-0.1579465050868025,0.5653282418052515,0.130510591185873,0.7691754715193052,-0.4336793476134879,-0.5296296319333018,0.0174445334324729
Nsw diff (ahr - bbr),0.038746296352465,0.0396317366247442,-0.0097652672576497,0.2494168553018466,0.2604391636831342,-0.0598421015808262,0.0989453161756759,0.262667478885594,-0.7473523659134177,-0.0488045431848094,-0.2442093410833785,0.7441850657704655,0.195990785636249,0.1820976809569741,0.0785672470038281,-0.0418299024582432,0.0633801942351938,-0.4336781408569047,0.0931919664602664,-0.0164712850492768,0.5368859997398567,-0.0348752226374545,-0.2728688248709254,1.0,0.0366905204130754,0.0548498394114092,-0.2661816300157059,0.1056824069725512,-0.0199219685552771,0.4941674265536586,-0.1402619604087516,-0.0552353347910888,-0.4625828782301017,0.1842034603649001,0.2785885309063989,-0.1017407699496009,0.1644432009783437,0.2895681891542948,-0.09409879717157,0.1965007159768883,0.2736101670140878,-0.1183110425965683,-0.0306822601333257,-0.0017793096968838,-0.1648375756022859,-0.0464240918922285,-0.0013942159401411,-0.1698205407268722,-0.019671744738327,0.0014622260308127,-0.1424165820070365,0.0085953237983472,-0.0127408226495185,0.0340967974063319,0.1204675186949829,0.1029061921088648,0.1322456251381428
Nww (rigid),0.9973207639827708,0.9950909903516454,0.1314484383091322,-0.5889108608454683,-0.537678051571102,-0.0420979079077699,-0.5648027223824191,-0.5396156495789901,0.1224720114851392,0.4873476871008882,0.5010323761236503,-0.1426701901919129,-0.561069727664762,-0.3715537762848581,-0.5503495253158046,0.7608599391972555,0.7631015563608852,-0.4593937333869684,-0.8267518558887136,-0.8489361934634713,0.1994140624322897,0.4707125484717794,0.4443466103020194,0.0366905204130754,1.0,0.9977849470146336,0.1423018788601512,-0.7500477620992472,-0.8096500149396302,0.5823574276785383,0.8383359419547864,0.8896323572193523,0.0075705713960849,-0.455323909826598,-0.2537230401127842,-0.6580026897100162,-0.4139252685909879,-0.1544454047732709,-0.6545010500597384,-0.48073722209427,-0.3116435508318911,-0.6111004226699012,0.8589384955309161,0.8588996803607939,0.3997635030227033,0.8371008679819664,0.8472490464168545,0.5636018535544857,0.8693237644635123,0.8624448960123455,0.1229638910321896,0.0018017475325139,-0.287655893003784,0.440692046105717,-0.8358710299149571,-0.8141630711040326,-0.6070337427013847
Nww (flexible),0.996167346084336,0.997905817892375,0.0705850048931882,-0.5604045363861658,-0.5144525692908402,-0.0334117533184245,-0.5618582817523241,-0.5348676944806597,0.1134802028154622,0.4911681327114243,0.5012840534916991,-0.1299603766017686,-0.5326370548118067,-0.3459482858513266,-0.5371956084689431,0.754272596817182,0.7643234299435823,-0.4895173988100877,-0.8127786383501181,-0.843646951511202,0.2411752567438149,0.472537113890066,0.4417577115473864,0.0548498394114092,0.9977849470146336,1.0,0.0761414754676147,-0.7384461344264328,-0.8066917809952758,0.6143422080666289,0.8196180681991321,0.8781028961374079,-0.0336202012257885,-0.4494432886721406,-0.2584752063531865,-0.6327137990262491,-0.4081487729980589,-0.1580282029863763,-0.6364623756766473,-0.4746946638990877,-0.3170440527410301,-0.5799643231659397,0.8496131577654606,0.8503583278456422,0.3913333121029255,0.828816617300811,0.8401387911733347,0.5541240042560514,0.8592736833110464,0.8530172633702581,0.1179763849452368,0.0192249720726435,-0.2598832925813651,0.4282665776608875,-0.8152915704957813,-0.7938356938610227,-0.5929977364044996
Nww diff (ahr - bbr),0.1262120656125743,0.0669221348240238,0.9199997776070016,-0.4885583846767337,-0.4043790161008141,-0.1338507183581247,-0.1055681898018739,-0.1296477469770369,0.1471769326714845,-0.0035605174257369,0.0510353913964428,-0.2047080767307534,-0.4844188512146967,-0.4216293205853455,-0.2559025221364821,0.1812102909605364,0.0652587419433181,0.3979915487961482,-0.2983150294120316,-0.1715277309756525,-0.5995799876220342,0.0243201981252544,0.0871054793389516,-0.2661816300157059,0.1423018788601512,0.0761414754676147,1.0,-0.2546361113256521,-0.1325444364131604,-0.4122393646509263,0.3701797254695023,0.2688290103018658,0.6137243716503062,-0.1372856718016978,0.0429698889881142,-0.4482360891010311,-0.13121068386082,0.0364245543456329,-0.3399732989409365,-0.142473234906885,0.0462842220360033,-0.5301113827541788,0.2326747009497764,0.2210051179981768,0.1691482628111825,0.2147951972209025,0.1984362168324679,0.2026510349369112,0.2445947357189642,0.2345807925607577,0.0876572489699594,-0.2590578825928626,-0.444702473950492,0.2330715491381018,-0.3976113580824899,-0.3914869528451651,-0.2752251632102943
Nsw/water (rigid),-0.721725955330312,-0.7196762586008199,-0.1018093277185585,0.3363150536406544,0.1508155398749416,0.3949173654247347,0.133879630441563,0.1319536145170787,-0.0464914026154757,-0.0663238381388895,-0.1176465999638698,0.2054711774989514,0.3241103034570415,0.0020270572978416,0.778244643083096,-0.961849687608902,-0.932754333408338,0.4416964097632662,0.9337990457258548,0.9229326425259188,-0.0460922775725096,0.0157917557009307,-0.0100877407559817,0.1056824069725512,-0.7500477620992472,-0.7384461344264328,-0.2546361113256521,1.0,0.9755425835146684,-0.33115468385292,-0.9020665529244588,-0.8687592092944187,-0.4447943323394217,0.0633219364199248,-0.0936572530917343,0.361151578051733,0.0068438626610032,-0.1782244198336023,0.2913478956318601,0.1022142359353197,-0.0385176456126213,0.3936875326975458,-0.9455286537691447,-0.9136035318268784,-0.6060662801888376,-0.9552963596154336,-0.9177884556380836,-0.7935990364316401,-0.933278592414628,-0.9052998475628558,-0.2677869342017353,0.2121211541667874,0.2416828027081262,-0.0045647976691563,0.7689947629849657,0.6465480071768791,0.8759881416681731
Nsw/water (flexible),-0.7869228400668914,-0.791202396995729,-0.0112763115470038,0.3309563357389062,0.1511919367845273,0.3820277154555184,0.201179859671475,0.1825181874043269,-0.0017878455345513,-0.1432835058422013,-0.1771964542921391,0.1543814566551964,0.3236689200704231,-0.0009579639279481,0.7838121364035061,-0.9626243304752132,-0.9648359051011788,0.5785517507828276,0.9343480501111314,0.953901412941361,-0.1977413228632017,-0.0761542095938772,-0.0685417930835543,-0.0199219685552771,-0.8096500149396302,-0.8066917809952758,-0.1325444364131604,0.9755425835146684,1.0,-0.530457540433269,-0.8982280400916062,-0.8975769170191827,-0.2826134979063833,0.1213353484641612,-0.0450888413461423,0.4110245178181071,0.064497001579992,-0.1410983359335909,0.3582760161920173,0.159535304465557,0.0156386381550543,0.4237656017511755,-0.9604517582374656,-0.9447426765027996,-0.5284154800300344,-0.9677421089258136,-0.9520239173022426,-0.7357733792826838,-0.949731589999345,-0.934994385487387,-0.1812469139797068,0.1447842767757034,0.1946172583845796,-0.0482310529652758,0.778268948770568,0.6668762103280449,0.8477185412434384
Nsw/water diff (ahr - bbr),0.5940392768738693,0.6202682200286558,-0.3435722298742331,-0.124018218760072,-0.0670087656991102,-0.1185823301742841,-0.347497649780092,-0.2746125313578225,-0.1724177375390773,0.3594393130708787,0.3070411404753246,0.1298476587896976,-0.1395178825398416,0.0124755287270367,-0.3646394288719839,0.4227147224550436,0.5443739929758923,-0.7798693332877071,-0.4095421912447989,-0.5351766352917342,0.6700373536538985,0.38796112215161,0.2552138816790014,0.4941674265536586,0.5823574276785383,0.6143422080666289,-0.4122393646509263,-0.33115468385292,-0.530457540433269,1.0,0.376902289921229,0.5022836681306635,-0.5008613178874077,-0.2772392471651784,-0.1682687102742704,-0.371826044812249,-0.2511360575629263,-0.0824144872419547,-0.4146028860224738,-0.2911672955388113,-0.2162557381305565,-0.3008889125245336,0.4759981811611296,0.5316248563593273,-0.0688939568134966,0.4695752260696248,0.546685416637809,0.0977528808279311,0.4772624507001255,0.5218127994126682,-0.254145594457189,0.1968947204714799,0.0976250503152783,0.1885273439332305,-0.3749456446890348,-0.3685867551735838,-0.2617948429165641
Nww/water (rigid),0.8173711238143181,0.8062939625034534,0.2493344897097417,-0.6736223735935225,-0.5158168892349271,-0.2836343900178766,-0.3673097363767978,-0.3733853219030353,0.176596517331721,0.2442554241758297,0.3104622345382569,-0.2947544983217043,-0.685078623094312,-0.3980471415416804,-0.7922642876803273,0.8886853480301972,0.8470447129015699,-0.3436951260920369,-0.9742478894617068,-0.9386689067246776,-0.0727931590525915,0.2675758135667577,0.291143092795014,-0.1402619604087516,0.8383359419547864,0.8196180681991321,0.3701797254695023,-0.9020665529244588,-0.8982280400916062,0.376902289921229,1.0,0.9824908659424678,0.3968953062626709,-0.285045319410228,-0.0698270563771153,-0.5980671450035494,-0.2365218456267394,0.0081320623566318,-0.523556344958382,-0.3166577123976377,-0.1186692022443797,-0.6205428177018922,0.9627436004149456,0.9572277799813794,0.4762197513526781,0.9537701786900894,0.9460840643155548,0.7014160921400385,0.9640406270078188,0.9588341006734552,0.1195901648790034,-0.2534257454751784,-0.4455088447446707,0.243938183146152,-0.9658321091583012,-0.898418030174854,-0.8325438183286191
Nww/water (flexible),0.874157613675374,0.8668682875146515,0.1968878556084039,-0.655799864531949,-0.5358506353412934,-0.1961813375595781,-0.4254887627011369,-0.418310259381919,0.1431902123861413,0.3140831935796981,0.3584063658663562,-0.2255009124062727,-0.6757946118142506,-0.417259554239503,-0.728306622727608,0.8785501544697748,0.8577232752091863,-0.4283717572783597,-0.962712088584891,-0.954105543761712,0.060370707345673,0.3453405398227199,0.345655917919199,-0.0552353347910888,0.8896323572193523,0.8781028961374079,0.2688290103018658,-0.8687592092944187,-0.8975769170191827,0.5022836681306635,0.9824908659424678,1.0,0.2189407732369106,-0.3364790839102669,-0.1205864901964143,-0.6261829373710035,-0.2887694146936784,-0.0363934777224065,-0.5673272628162664,-0.3668202399328049,-0.1720289768045069,-0.6318450085593879,0.963578360224952,0.9639481271047724,0.4459370138919329,0.9520059882094132,0.9529204224831368,0.6740118965243719,0.9666126145071188,0.965858526653312,0.0902883340983944,-0.1828145334362099,-0.4158803800003153,0.3197359658350888,-0.9615808387292724,-0.9138881607415116,-0.7687367719344419
Nww/water diff (ahr - bbr),-0.0259575745539464,-0.0480283689200044,0.3353468291851376,-0.2956342958759523,-0.0604151978691348,-0.5184245525355883,0.1729651770136011,0.1057890238407261,0.2192188816774217,-0.2682778909913106,-0.1400084778000659,-0.4323110605235217,-0.2575865080479199,-0.0280563370411425,-0.5609100766574828,0.3266314233557462,0.2111051494590226,0.3102441569209594,-0.3597510762286449,-0.2158808107694245,-0.6783080361727309,-0.3002676931280261,-0.1783551352426757,-0.4625828782301017,0.0075705713960849,-0.0336202012257885,0.6137243716503062,-0.4447943323394217,-0.2826134979063833,-0.5008613178874077,0.3968953062626709,0.2189407732369106,1.0,0.1649187072143652,0.2280037070663468,-0.0462937617181147,0.184110199922765,0.2216577241941392,0.0537478347564872,0.1487623999847085,0.2256005949932716,-0.136036245033875,0.2952060523830102,0.264182206611504,0.2988837433578829,0.3053566251979945,0.2602636424243943,0.3541936398091297,0.2869585627305898,0.2631271703845353,0.1833672064079763,-0.4254861719805021,-0.2828772249402932,-0.2980027034409283,-0.3206339275609073,-0.2022999469542728,-0.5734789114837725
dTStot (rigid),-0.512106105341274,-0.5005425561275504,-0.2269998430186245,0.481464024534374,0.649192106161811,-0.463153712524619,0.9481422009065916,0.9473233015675296,-0.3846032247806544,-0.9449478903535596,-0.953854686774284,0.2103231959998088,0.5507538648897212,0.5813453287806333,0.0710158993633316,-0.0085820013258597,0.0004740219193949,-0.0343032828082842,0.1667105217675052,0.1470589173805324,0.0799230266972952,-0.942634505660113,-0.9514930400242684,0.1842034603649001,-0.455323909826598,-0.4494432886721406,-0.1372856718016978,0.0633219364199248,0.1213353484641612,-0.2772392471651784,-0.285045319410228,-0.3364790839102669,0.1649187072143652,1.0,0.9330995323509564,0.6591248665066325,0.9943653839463832,0.896750987385779,0.7564929668606609,0.9972382636030416,0.9424937428756048,0.522480226537047,-0.1772939375564509,-0.2106824608737685,0.0910536236861469,-0.1488737313619533,-0.2010929130135521,0.0547681554124832,-0.1968159980618381,-0.21625572162669,0.1111516938422295,-0.6817070316683417,-0.2648825991296659,-0.7639727543525507,0.3964991884507754,0.4733326996995894,0.0176864693328812
dTStot (flexible),-0.3155612816715402,-0.3148777244658755,-0.041259821158808,0.2779308868948006,0.4862045809662069,-0.531914776771156,0.8581108060059464,0.8707915039402242,-0.406029076299406,-0.8946867757326104,-0.904648819619363,0.2048878487539999,0.3468712493022833,0.4260934328423553,-0.0850604494692801,0.1597903155726425,0.1601992395297522,-0.0961205177560449,-0.039289784740027,-0.050294022617027,0.0590464366982317,-0.8512863081547386,-0.8861454141278856,0.2785885309063989,-0.2537230401127842,-0.2584752063531865,0.0429698889881142,-0.0936572530917343,-0.0450888413461423,-0.1682687102742704,-0.0698270563771153,-0.1205864901964143,0.2280037070663468,0.9330995323509564,1.0,0.3445841516688263,0.9311140823011396,0.98637575972347,0.4807811583592669,0.9276078728958972,0.9953517949586445,0.1872798126608567,0.0244635318555135,0.023007519299527,0.018158165511816,0.0408696097135065,0.0278897989263936,0.0695523225560309,0.0121810120906108,0.0200560221978801,-0.0515861783863921,-0.7791114598574311,-0.4925524085665515,-0.5843571859645632,0.1630364459490118,0.221582669074784,-0.0762066034860373
dTStot diff (ahr - bbr),-0.676912069796868,-0.6481553107766854,-0.5062901262292807,0.6756185377374506,0.6779189042178183,-0.0966898547400547,0.6805725890975988,0.651916080046729,-0.1548856505401343,-0.5957459176914751,-0.598162484854143,0.1205663241198747,0.7123267880726477,0.6265145518285348,0.3632596395109865,-0.3565547310619955,-0.333769332363432,0.1114581687011656,0.5173475084926142,0.4890599371474685,0.0851581861773156,-0.6804663717538163,-0.6306921866247028,-0.1017407699496009,-0.6580026897100162,-0.6327137990262491,-0.4482360891010311,0.361151578051733,0.4110245178181071,-0.371826044812249,-0.5980671450035494,-0.6261829373710035,-0.0462937617181147,0.6591248665066325,0.3445841516688263,1.0,0.6485681766335273,0.27819049000656,0.9693562660290213,0.6633997035610392,0.3788270169416793,0.9722553033987388,-0.5139701522682345,-0.598082793537536,0.1997124629237366,-0.4740896226464812,-0.5832594035093817,-0.002482583347953,-0.5392459106908196,-0.606459536761068,0.3980266544243023,-0.1502630307789201,0.3385741915747352,-0.7722859363238501,0.6940904292901822,0.7722264608938922,0.205533701811572
dTStrans (rigid),-0.4721411145365954,-0.4596497459374019,-0.2373039212981503,0.4662019953827953,0.6499951766170524,-0.4992271952103703,0.9348933147821832,0.9332928664593416,-0.3758052983472769,-0.9338777834592898,-0.9371024447485594,0.1868772938285454,0.543159999504693,0.5965793802853712,0.0196790909864923,0.0436182761514096,0.0548533090558465,-0.0746358761361447,0.1189227356418211,0.0971483789466772,0.0956276619052671,-0.9398706937214302,-0.9441042704309308,0.1644432009783437,-0.4139252685909879,-0.4081487729980589,-0.13121068386082,0.0068438626610032,0.064497001579992,-0.2511360575629263,-0.2365218456267394,-0.2887694146936784,0.184110199922765,0.9943653839463832,0.9311140823011396,0.6485681766335273,1.0,0.906060276597093,0.7542196794676219,0.9838040900779916,0.933541170659711,0.5060169289935995,-0.1249554171791278,-0.1611753334765287,0.1302179742714168,-0.089010191820747,-0.1461112098637849,0.1121851631596079,-0.1501952293523333,-0.170354196353062,0.1199661258369829,-0.688341223115345,-0.2621434653100749,-0.7794960194197954,0.3592607452324383,0.4468623801657796,-0.0397498681690245
